| cycle | cells | L2                     | L2...red.rate.log2 | L2...   | 
| 0     | 32    | 1.2675919785262870e+00 | -                  | -       | 
| 1     | 64    | 3.8505950964640157e-01 | 1.72               | -       | 
| 2     | 128   | 9.5835081874839578e-02 | 2.01               | 1.6095  | 
| 3     | 256   | 1.6204394967303656e-01 | -0.76              | 2.1271  | 
| 4     | 512   | 1.9845005034503430e-02 | 3.03               | -1.1028 | 
| 5     | 1024  | 5.1577677660777947e-03 | 1.94               | 3.2753  | 
| 6     | 2048  | 1.8994366478635209e-03 | 1.44               | 2.1724  | 
| 7     | 4096  | 1.4188511206897003e-03 | 0.42               | 2.7613  | 
| 8     | 8192  | 1.3686952322931308e-03 | 0.05               | 3.2603  | 
| 9     | 16384 | 1.3618169190469471e-03 | 0.01               | 2.8663  | 
| 10    | 32768 | 1.3604633825298170e-03 | 0.00               | 2.3453  | 
| 11    | 65536 | 1.3601480070789039e-03 | 0.00               | 2.1016  | 
