| cycle | cells | dofs   | dofs(space) | dofs(time) | L2                     | 
| 0     | 32    | 132    | 66          | 2          | 1.2675919785262870e+00 | 
| 1     | 64    | 198    | 66          | 3          | 3.8505950964640157e-01 | 
| 2     | 128   | 330    | 66          | 5          | 9.5835081874839578e-02 | 
| 3     | 256   | 594    | 66          | 9          | 1.6204394967303656e-01 | 
| 4     | 512   | 1122   | 66          | 17         | 1.9845005034503430e-02 | 
| 5     | 1024  | 2178   | 66          | 33         | 5.1577677660777947e-03 | 
| 6     | 2048  | 4290   | 66          | 65         | 1.8994366478635209e-03 | 
| 7     | 4096  | 8514   | 66          | 129        | 1.4188511206897003e-03 | 
| 8     | 8192  | 16962  | 66          | 257        | 1.3686952322931308e-03 | 
| 9     | 16384 | 33858  | 66          | 513        | 1.3618169190469471e-03 | 
| 10    | 32768 | 67650  | 66          | 1025       | 1.3604633825298170e-03 | 
| 11    | 65536 | 135234 | 66          | 2049       | 1.3601480070789039e-03 | 
